"FIPS","agreeableness","median_household_income_acs2014_5yr","perc_bach_acs2014_5yr","unemployment_rate_acs2014_5yr","HighSchoolGraduationRate_chr20","PercRural_chr20","PercHispanic_chr20","LogPopulation_chr20","median_age_acs2014_5yr","perc_female_acs2014_5yr","perc_married_acs2014_5yr","perc_aa_acs2014_5yr"
"06019",-0.335258586555,45201,4.7,14.3,81,10.8,53.5,13.809900283813477,31.2,50.10486445,45,5.087875351
"06021",-0.435203184934,40106,3.2,13.5,82,40.9,42.3,10.241600036621094,36.7,49.30582819,50.5,0.88868268
"06023",-0.0348545154708,42153,4.8,11.3,84,29.8,11.8,11.823100090026855,37.4,49.92956493,40.8,1.301195172
"06025",-0.312208060424,41772,2.4,18.1,85,17.4,84.6,12.110799789428711,31.9,48.74425226,45.7,2.940246066
"06027",0.685376849266,45625,2.3,7.9,40,46.4,22.7,9.79740047454834,45.3,49.73697055,46,1.095504095
"06029",-0.653034593188,48574,3.6,13.2,86,10.2,54,13.706500053405762,31,48.61879612,46.8,5.644200389
"06031",-0.146559096078,47341,3,14.2,80,10.9,55,11.927499771118164,31.2,44.36026158,46.3,6.501750446
"06033",0.0695601546763,35997,3.6,16.6,78,33.1,21.3,11.072600364685059,45.2,49.69708296,46,2.331448862
"06035",0.44204501305,53351,2.5,13.4,86,70.5,19.2,10.33530044555664,37.3,32.97457729,41.1,8.709077827
"06037",-0.122576881644,55870,9.6,11,82,0.6,48.6,16.128599166870117,35.3,50.73603375,42.5,8.344055159
"06039",-0.663529183102,45490,1.4,9.5,83,32.9,58.3,11.968299865722656,33.3,51.820901,47.6,3.530291502
"06041",0.525472696341,91529,13.5,7.2,87,6.5,16.1,12.46720027923584,45.1,50.99804519,52.3,2.691957228
"06043",NULL,50560,2.6,13.2,86,100,11.6,9.76830005645752,50.2,49.57093503,55.1,0.863702218
"06045",0.29866531424,43290,3.2,12.3,84,45.2,25.6,11.380599975585938,42,49.80253847,44.4,0.80468429
"06047",-0.380228704354,43066,2.9,17.5,88,14.3,60.2,12.523699760437012,30.2,49.58162754,46.4,3.484207348
"06049",NULL,38560,7.6,12.3,86,70,14.2,9.079890251159668,47.1,49.36261382,56.2,1.156936261
"06051",0.644945628103,61814,16.9,11.9,36,45.8,27.6,9.564510345458984,37.2,47.01613471,46.9,0.443880786
"06053",-0.388630161564,58582,4.8,9.6,85,9.8,59.1,12.98449993133545,33.3,48.68295025,47.5,2.783066268
"06055",0.57344139535,70925,6,8.4,87,13.4,34.5,11.845199584960938,40.3,50.23374721,52,2.148607211
"06057",0.81643836646,56949,5.9,10.7,50,42.1,9.7,11.509900093078613,48.8,50.4979413,53.7,0.363061071
"06059",0.534395463638,75998,10.6,8.8,89,0.1,34.2,14.974300384521484,36.7,50.58627866,50.1,1.6448657
"06061",0.476434285122,73747,7.6,9.3,90,13.8,14.3,12.8818998336792,40.7,51.18085407,56,1.286796231
"06063",0.503821857233,48032,0,16.7,81,74,9.2,9.841819763183594,50.6,49.42445297,52.4,0.69998963
"06065",-0.307604561208,56592,4.4,14.3,89,4.6,49.6,14.711899757385254,34.2,50.24374707,48.8,6.235390284
"06067",0.07707776015,55615,6.9,13.1,81,2.1,23.4,14.247900009155273,35.3,51.06596878,45,10.08331512
