FIPS,COMPONENT_0,COMPONENT_1,COMPONENT_10,COMPONENT_11,COMPONENT_12,COMPONENT_13,COMPONENT_14,COMPONENT_15,COMPONENT_16,COMPONENT_17,COMPONENT_18,COMPONENT_19,COMPONENT_2,COMPONENT_20,COMPONENT_21,COMPONENT_22,COMPONENT_23,COMPONENT_24,COMPONENT_3,COMPONENT_4,COMPONENT_5,COMPONENT_6,COMPONENT_7,COMPONENT_8,COMPONENT_9
01051,-0.0015427212601679,-0.0021493952933867,-0.0015261656638378,-0.0001976969832591,-9.94953471724e-05,-0.0001251334866836,-0.0004327899066472,-0.0001521843308947,0.0015662412806929,-5.68361198133e-05,8.04766639315e-05,-4.7103442794e-06,-0.0021392007558527,0.0005328936909479,-5.00437728275e-05,-0.0003723789805483,0.0001059788308403,0.0009711455477849,-0.0012250485453599,-0.0011491685415006,-0.0008977434339527,-0.0001639624592479,-0.0003765168222393,-0.0004522124062318,-0.0001009899202539
01053,-0.0020560605502312,-0.001704430662389,-0.0016467701747876,-0.0002444620992848,-7.57597609106e-05,-0.0001598933764585,-0.0005356778765,-0.0001950430544476,0.0015768728957924,3.95306330515e-05,7.67766890101e-05,-0.0001831530770095,-0.0020919519557834,0.0005891168709923,-8.96877036786e-05,-0.0003242058699182,0.000125925471047,0.0009893014809897,-0.0015650980564806,-0.001386938541807,-0.0007387645275862,-0.0002375254079508,-0.0005571734433937,-0.0004969105167986,-0.0001502918673638
01055,-0.0026968932091755,-0.0004703098199006,-0.0018983914919459,-0.0002694853613593,1.98516352334e-05,-0.0003513824432495,-0.0008350045632346,-0.00021817836004,0.0018962710702641,7.58722541219e-05,8.92222626437e-05,-0.000214914213115,-0.0020238005441827,0.0003219182351052,-0.0003156368276789,-0.0003735682729717,0.0002284755209126,0.0007757459629801,-0.0019105276639464,-0.0018865765223324,-0.000347206493559,-0.0001543774553477,-0.000537460824723,-0.0004313749583996,3.369987092e-07
01057,-0.0013781048678095,-0.0029797562729896,-0.0018259580926798,-0.0002822711306752,-0.0003021538424522,0.0001073720913052,-0.0004430856704555,4.72354256363e-05,0.0017294432355075,-5.6469559694e-06,0.0001115225069011,-1.42383650894e-05,-0.0015718152896108,0.0005099222524023,4.5511221557e-06,-0.0003582123645082,7.12198278034e-05,0.0012165439393438,-0.001160677995998,-0.0006175324273541,-0.0005367994141127,-0.0001446491173862,-0.0004224507364845,-0.0003505587535162,-3.44093455179e-05
01059,-0.0013541378621694,-0.0028216669602318,-0.001829111791189,-0.0002882582015364,-0.0002705846758722,-3.78892388326e-05,-0.0003981346568156,-9.7644472441e-05,0.0018191929660399,-0.0002505062142992,2.65320605341e-05,5.30163932749e-05,-0.0019454639630156,0.0004541372082288,-0.0001123356939246,-0.0004134144080472,0.0001904537673458,0.0011338677488768,-0.0010120736841014,-0.0005227389099603,-0.0007462257275475,-0.0001578567379024,-0.0003576680323977,-0.0004709027259291,-5.43903480811e-05
01061,-0.0013902315674661,-0.0024332438806344,-0.0016157931502744,-0.0002619418401926,-0.0001955200472301,-0.0001570361462261,-0.000447131481983,-9.23367355759e-05,0.0014956260533364,-5.17763422313e-05,0.0001243899913013,6.8616083e-09,-0.0017651353312104,0.0004799373771572,7.45559233511e-05,-0.0003813055791449,8.32723317303e-05,0.0010975969731775,-0.0011175776721363,-0.0010465346486324,-0.00106030078369,-0.0002292241912491,-0.0005095576850821,-0.0005242977686999,-0.000114029930729
01065,-0.002531006138483,-0.0016127605668881,-0.0018066902475995,-0.000299938060104,-0.0001770612511721,-4.16614038274e-05,-0.0006734891420498,-0.000324524871168,0.0017806085093613,0.0002074788224823,0.0001159802310239,-0.0002454933214589,-0.0019731331563608,0.0004673688134956,-0.0002704714155681,-0.0002572348215379,0.0002206667313226,0.0010952710887057,-0.0017248611207166,-0.0011485396274678,-0.0004634898922266,-0.0001753087440337,-0.0006741298553474,-0.0004167315408582,-0.0001224821102712
01067,-0.0018732389420289,-0.0020268044285665,-0.0016542768900458,-0.0002451264500903,-0.0001671702923934,-3.43389658313e-05,-0.0004719038391218,-0.0001298910247976,0.0016108390829863,-9.65229766048e-05,3.50728058806e-05,-3.8574669712e-06,-0.0019961315733592,0.0005123053626366,-0.0001435274328611,-0.0003636850316315,0.000146874734175,0.001152489171454,-0.0015104315413719,-0.0012626990829065,-0.0006521074752032,-0.0002276731196229,-0.0004853480937888,-0.0005262201165769,-0.000219787158871
01069,-0.0008862161548829,-0.0015078043317636,-0.0014319973215081,6.6578867203e-06,5.8347616599e-06,-0.0002747772506941,-0.000390199838685,-0.0001957618341994,0.0013306829452254,-2.16778391716e-05,4.28089704745e-05,2.42506361502e-05,-0.0017599775880521,0.0004945254506475,-0.0002059186789883,-0.0005116590554408,-0.0001209990289313,0.0010295953518528,-0.0013079365057341,-0.0010352730633814,-0.0007882630463621,-0.0002598856732084,-0.0005292631000127,-0.0006248911945478,-0.0003895378058292
01071,-0.0009050618648041,-0.0026974219322192,-0.0015351445400588,-0.0001445952458363,-8.43783463069e-05,-0.0001065776652064,-0.000448230712718,-3.67617212253e-05,0.0015887471082941,-5.54892466961e-05,0.0001522046203961,-1.52300941676e-05,-0.0020318441374432,0.0004836305837225,2.62846582993e-05,-0.0003892687529952,4.1204985471e-05,0.0011105766992746,-0.0009810900929977,-0.0008542430460476,-0.000964214621437,-0.0001596502615306,-0.0002775900623597,-0.0004006790322409,-5.37191270963e-05
